alta_io_E28_G2_SRAM,B0,B1,B2,B3,B4,B5,
W0,CFG_IOMUX0<5>,CFG_IOMUX0<4>,CFG_IOMUX0<0>,CFG_SeamMUX<0>,CFG_IOMUX0<2>,CFG_IOMUX0<9>,
W1,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_InputMUX<0>,
W2,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W3,CFG_IOMUX0<6>,CFG_IOMUX0<7>,CFG_IOMUX0<1>,CFG_SeamMUX<1>,CFG_IOMUX0<3>,CFG_IOMUX0<8>,
W4,CFG_IOMUX1<5>,CFG_IOMUX1<4>,CFG_IOMUX1<0>,CFG_SeamMUX<2>,CFG_IOMUX1<2>,CFG_IOMUX1<9>,
W5,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_InputMUX<1>,
W6,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W7,CFG_IOMUX1<6>,CFG_IOMUX1<7>,CFG_IOMUX1<1>,CFG_SeamMUX<3>,CFG_IOMUX1<3>,CFG_IOMUX1<8>,
W8,CFG_IOMUX2<5>,CFG_IOMUX2<4>,CFG_IOMUX2<0>,CFG_SeamMUX<4>,CFG_IOMUX2<2>,CFG_IOMUX2<9>,
W9,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_InputMUX<2>,
W10,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W11,CFG_IOMUX2<6>,CFG_IOMUX2<7>,CFG_IOMUX2<1>,CFG_SeamMUX<5>,CFG_IOMUX2<3>,CFG_IOMUX2<8>,
W12,CFG_IOMUX3<5>,CFG_IOMUX3<4>,CFG_IOMUX3<0>,CFG_SeamMUX<6>,CFG_IOMUX3<2>,CFG_IOMUX3<9>,
W13,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_InputMUX<3>,
W14,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W15,CFG_IOMUX3<6>,CFG_IOMUX3<7>,CFG_IOMUX3<1>,CFG_SeamMUX<7>,CFG_IOMUX3<3>,CFG_IOMUX3<8>,
W16,CFG_IOMUX4<5>,CFG_IOMUX4<4>,CFG_IOMUX4<0>,CFG_SeamMUX<8>,CFG_IOMUX4<2>,CFG_IOMUX4<9>,
W17,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_InputMUX<4>,
W18,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W19,CFG_IOMUX4<6>,CFG_IOMUX4<7>,CFG_IOMUX4<1>,CFG_SeamMUX<9>,CFG_IOMUX4<3>,CFG_IOMUX4<8>,
W20,CFG_IOMUX5<5>,CFG_IOMUX5<4>,CFG_IOMUX5<0>,CFG_SeamMUX<10>,CFG_IOMUX5<2>,CFG_IOMUX5<9>,
W21,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_InputMUX<5>,
W22,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W23,CFG_IOMUX5<6>,CFG_IOMUX5<7>,CFG_IOMUX5<1>,CFG_SeamMUX<11>,CFG_IOMUX5<3>,CFG_IOMUX5<8>,
W24,CFG_IOMUX6<5>,CFG_IOMUX6<4>,CFG_IOMUX6<0>,CFG_SeamMUX<12>,CFG_IOMUX6<2>,CFG_IOMUX6<9>,
W25,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_InputMUX<6>,
W26,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W27,CFG_IOMUX6<6>,CFG_IOMUX6<7>,CFG_IOMUX6<1>,CFG_SeamMUX<13>,CFG_IOMUX6<3>,CFG_IOMUX6<8>,
W28,CFG_IOMUX7<5>,CFG_IOMUX7<4>,CFG_IOMUX7<0>,CFG_SeamMUX<14>,CFG_IOMUX7<2>,CFG_IOMUX7<9>,
W29,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_InputMUX<7>,
W30,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W31,CFG_IOMUX7<6>,CFG_IOMUX7<7>,CFG_IOMUX7<1>,CFG_SeamMUX<15>,CFG_IOMUX7<3>,CFG_IOMUX7<8>,
W32,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W33,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W34,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W35,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W36,CFG_IOMUX8<5>,CFG_IOMUX8<4>,CFG_IOMUX8<0>,CFG_SeamMUX<16>,CFG_IOMUX8<2>,CFG_IOMUX8<9>,
W37,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_InputMUX<8>,
W38,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W39,CFG_IOMUX8<6>,CFG_IOMUX8<7>,CFG_IOMUX8<1>,CFG_SeamMUX<17>,CFG_IOMUX8<3>,CFG_IOMUX8<8>,
W40,CFG_IOMUX9<5>,CFG_IOMUX9<4>,CFG_IOMUX9<0>,CFG_SeamMUX<18>,CFG_IOMUX9<2>,CFG_IOMUX9<9>,
W41,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_InputMUX<9>,
W42,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W43,CFG_IOMUX9<6>,CFG_IOMUX9<7>,CFG_IOMUX9<1>,CFG_SeamMUX<19>,CFG_IOMUX9<3>,CFG_IOMUX9<8>,
W44,CFG_IOMUX10<5>,CFG_IOMUX10<4>,CFG_IOMUX10<0>,CFG_SeamMUX<20>,CFG_IOMUX10<2>,CFG_IOMUX10<9>,
W45,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_InputMUX<10>,
W46,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W47,CFG_IOMUX10<6>,CFG_IOMUX10<7>,CFG_IOMUX10<1>,CFG_SeamMUX<21>,CFG_IOMUX10<3>,CFG_IOMUX10<8>,
W48,CFG_IOMUX11<5>,CFG_IOMUX11<4>,CFG_IOMUX11<0>,CFG_SeamMUX<22>,CFG_IOMUX11<2>,CFG_IOMUX11<9>,
W49,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_InputMUX<11>,
W50,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W51,CFG_IOMUX11<6>,CFG_IOMUX11<7>,CFG_IOMUX11<1>,CFG_SeamMUX<23>,CFG_IOMUX11<3>,CFG_IOMUX11<8>,
W52,CFG_IOMUX12<5>,CFG_IOMUX12<4>,CFG_IOMUX12<0>,CFG_SeamMUX<24>,CFG_IOMUX12<2>,CFG_IOMUX12<9>,
W53,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_InputMUX<12>,
W54,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W55,CFG_IOMUX12<6>,CFG_IOMUX12<7>,CFG_IOMUX12<1>,CFG_SeamMUX<25>,CFG_IOMUX12<3>,CFG_IOMUX12<8>,
W56,CFG_IOMUX13<5>,CFG_IOMUX13<4>,CFG_IOMUX13<0>,CFG_SeamMUX<26>,CFG_IOMUX13<2>,CFG_IOMUX13<9>,
W57,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_InputMUX<13>,
W58,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W59,CFG_IOMUX13<6>,CFG_IOMUX13<7>,CFG_IOMUX13<1>,CFG_SeamMUX<27>,CFG_IOMUX13<3>,CFG_IOMUX13<8>,
W60,CFG_GclkMUX<5>,CFG_GclkMUX<4>,CFG_GclkMUX<0>,XXXX,CFG_GclkMUX<2>,XXXX,
W61,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_InputMUX<14>,
W62,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W63,CFG_GclkMUX<6>,CFG_GclkMUX<7>,CFG_GclkMUX<1>,XXXX,CFG_GclkMUX<3>,CFG_GclkMUX<8>,
W64,CFG_GclkMUX<14>,CFG_GclkMUX<13>,CFG_GclkMUX<9>,XXXX,CFG_GclkMUX<11>,XXXX,
W65,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_InputMUX<15>,
W66,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W67,CFG_GclkMUX<15>,CFG_GclkMUX<16>,CFG_GclkMUX<10>,XXXX,CFG_GclkMUX<12>,CFG_GclkMUX<17>,

