config_iomux_e7_g2,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
W0,CFG_RMUX0<7>,CFG_RMUX0<6>,CFG_RMUX0<4>,CFG_RMUX0<2>,CFG_RMUX0<0>,CFG_RMUX0<20>,CFG_RMUX0<22>,CFG_RMUX0<24>,CFG_RMUX0<26>,CFG_RMUX0<27>,CFG_RMUX0<40>,CFG_RMUX0<42>,CFG_RMUX0<44>,CFG_RMUX0<46>,CFG_RMUX0<47>,CFG_IOMUX0<4>,CFG_IOMUX0<8>,CFG_IOMUX0<0>,CFG_IOMUX0<2>,CFG_IOMUX0<5>,CFG_SeamMUX<8>
W1,CFG_RMUX0<8>,CFG_RMUX0<9>,CFG_RMUX0<5>,CFG_RMUX0<3>,CFG_RMUX0<1>,CFG_RMUX0<21>,CFG_RMUX0<23>,CFG_RMUX0<25>,CFG_RMUX0<29>,CFG_RMUX0<28>,CFG_RMUX0<41>,CFG_RMUX0<43>,CFG_RMUX0<45>,CFG_RMUX0<49>,CFG_RMUX0<48>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W2,CFG_RMUX1<7>,CFG_RMUX1<6>,CFG_RMUX1<4>,CFG_RMUX1<2>,CFG_RMUX1<0>,CFG_RMUX1<20>,CFG_RMUX1<22>,CFG_RMUX1<24>,CFG_RMUX1<26>,CFG_RMUX1<27>,CFG_RMUX1<40>,CFG_RMUX1<42>,CFG_RMUX1<44>,CFG_RMUX1<46>,CFG_RMUX1<47>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W3,CFG_RMUX1<8>,CFG_RMUX1<9>,CFG_RMUX1<5>,CFG_RMUX1<3>,CFG_RMUX1<1>,CFG_RMUX1<21>,CFG_RMUX1<23>,CFG_RMUX1<25>,CFG_RMUX1<29>,CFG_RMUX1<28>,CFG_RMUX1<41>,CFG_RMUX1<43>,CFG_RMUX1<45>,CFG_RMUX1<49>,CFG_RMUX1<48>,CFG_IOMUX0<6>,CFG_IOMUX0<7>,CFG_IOMUX0<1>,CFG_IOMUX0<3>,CFG_SeamMUX<9>,CFG_IOMUX0<9>
W4,CFG_RMUX2<57>,CFG_RMUX2<56>,CFG_RMUX2<54>,CFG_RMUX2<52>,CFG_RMUX2<50>,CFG_RMUX2<10>,CFG_RMUX2<12>,CFG_RMUX2<14>,CFG_RMUX2<16>,CFG_RMUX2<17>,CFG_RMUX2<30>,CFG_RMUX2<32>,CFG_RMUX2<34>,CFG_RMUX2<36>,CFG_RMUX2<37>,CFG_IOMUX1<4>,CFG_IOMUX1<8>,CFG_IOMUX1<0>,CFG_IOMUX1<2>,CFG_IOMUX1<5>,CFG_SeamMUX<10>
W5,CFG_RMUX2<58>,CFG_RMUX2<59>,CFG_RMUX2<55>,CFG_RMUX2<53>,CFG_RMUX2<51>,CFG_RMUX2<11>,CFG_RMUX2<13>,CFG_RMUX2<15>,CFG_RMUX2<19>,CFG_RMUX2<18>,CFG_RMUX2<31>,CFG_RMUX2<33>,CFG_RMUX2<35>,CFG_RMUX2<39>,CFG_RMUX2<38>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W6,CFG_RMUX3<57>,CFG_RMUX3<56>,CFG_RMUX3<54>,CFG_RMUX3<52>,CFG_RMUX3<50>,CFG_RMUX3<10>,CFG_RMUX3<12>,CFG_RMUX3<14>,CFG_RMUX3<16>,CFG_RMUX3<17>,CFG_RMUX3<30>,CFG_RMUX3<32>,CFG_RMUX3<34>,CFG_RMUX3<36>,CFG_RMUX3<37>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W7,CFG_RMUX3<58>,CFG_RMUX3<59>,CFG_RMUX3<55>,CFG_RMUX3<53>,CFG_RMUX3<51>,CFG_RMUX3<11>,CFG_RMUX3<13>,CFG_RMUX3<15>,CFG_RMUX3<19>,CFG_RMUX3<18>,CFG_RMUX3<31>,CFG_RMUX3<33>,CFG_RMUX3<35>,CFG_RMUX3<39>,CFG_RMUX3<38>,CFG_IOMUX1<6>,CFG_IOMUX1<7>,CFG_IOMUX1<1>,CFG_IOMUX1<3>,CFG_SeamMUX<11>,CFG_IOMUX1<9>
W8,CFG_RMUX0<17>,CFG_RMUX0<16>,CFG_RMUX0<14>,CFG_RMUX0<12>,CFG_RMUX0<10>,CFG_RMUX0<30>,CFG_RMUX0<32>,CFG_RMUX0<34>,CFG_RMUX0<36>,CFG_RMUX0<37>,CFG_RMUX0<50>,CFG_RMUX0<52>,CFG_RMUX0<54>,CFG_RMUX0<56>,CFG_RMUX0<57>,CFG_IOMUX2<4>,CFG_IOMUX2<8>,CFG_IOMUX2<0>,CFG_IOMUX2<2>,CFG_IOMUX2<5>,CFG_SeamMUX<12>
W9,CFG_RMUX0<18>,CFG_RMUX0<19>,CFG_RMUX0<15>,CFG_RMUX0<13>,CFG_RMUX0<11>,CFG_RMUX0<31>,CFG_RMUX0<33>,CFG_RMUX0<35>,CFG_RMUX0<39>,CFG_RMUX0<38>,CFG_RMUX0<51>,CFG_RMUX0<53>,CFG_RMUX0<55>,CFG_RMUX0<59>,CFG_RMUX0<58>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W10,CFG_RMUX1<17>,CFG_RMUX1<16>,CFG_RMUX1<14>,CFG_RMUX1<12>,CFG_RMUX1<10>,CFG_RMUX1<30>,CFG_RMUX1<32>,CFG_RMUX1<34>,CFG_RMUX1<36>,CFG_RMUX1<37>,CFG_RMUX1<50>,CFG_RMUX1<52>,CFG_RMUX1<54>,CFG_RMUX1<56>,CFG_RMUX1<57>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W11,CFG_RMUX1<18>,CFG_RMUX1<19>,CFG_RMUX1<15>,CFG_RMUX1<13>,CFG_RMUX1<11>,CFG_RMUX1<31>,CFG_RMUX1<33>,CFG_RMUX1<35>,CFG_RMUX1<39>,CFG_RMUX1<38>,CFG_RMUX1<51>,CFG_RMUX1<53>,CFG_RMUX1<55>,CFG_RMUX1<59>,CFG_RMUX1<58>,CFG_IOMUX2<6>,CFG_IOMUX2<7>,CFG_IOMUX2<1>,CFG_IOMUX2<3>,CFG_SeamMUX<13>,CFG_IOMUX2<9>
W12,CFG_RMUX2<47>,CFG_RMUX2<46>,CFG_RMUX2<44>,CFG_RMUX2<42>,CFG_RMUX2<40>,CFG_RMUX2<0>,CFG_RMUX2<2>,CFG_RMUX2<4>,CFG_RMUX2<6>,CFG_RMUX2<7>,CFG_RMUX2<20>,CFG_RMUX2<22>,CFG_RMUX2<24>,CFG_RMUX2<26>,CFG_RMUX2<27>,CFG_IOMUX3<4>,CFG_IOMUX3<8>,CFG_IOMUX3<0>,CFG_IOMUX3<2>,CFG_IOMUX3<5>,CFG_SeamMUX<14>
W13,CFG_RMUX2<48>,CFG_RMUX2<49>,CFG_RMUX2<45>,CFG_RMUX2<43>,CFG_RMUX2<41>,CFG_RMUX2<1>,CFG_RMUX2<3>,CFG_RMUX2<5>,CFG_RMUX2<9>,CFG_RMUX2<8>,CFG_RMUX2<21>,CFG_RMUX2<23>,CFG_RMUX2<25>,CFG_RMUX2<29>,CFG_RMUX2<28>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W14,CFG_RMUX3<47>,CFG_RMUX3<46>,CFG_RMUX3<44>,CFG_RMUX3<42>,CFG_RMUX3<40>,CFG_RMUX3<0>,CFG_RMUX3<2>,CFG_RMUX3<4>,CFG_RMUX3<6>,CFG_RMUX3<7>,CFG_RMUX3<20>,CFG_RMUX3<22>,CFG_RMUX3<24>,CFG_RMUX3<26>,CFG_RMUX3<27>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W15,CFG_RMUX3<48>,CFG_RMUX3<49>,CFG_RMUX3<45>,CFG_RMUX3<43>,CFG_RMUX3<41>,CFG_RMUX3<1>,CFG_RMUX3<3>,CFG_RMUX3<5>,CFG_RMUX3<9>,CFG_RMUX3<8>,CFG_RMUX3<21>,CFG_RMUX3<23>,CFG_RMUX3<25>,CFG_RMUX3<29>,CFG_RMUX3<28>,CFG_IOMUX3<6>,CFG_IOMUX3<7>,CFG_IOMUX3<1>,CFG_IOMUX3<3>,CFG_SeamMUX<15>,CFG_IOMUX3<9>
W16,CFG_RMUX4<7>,CFG_RMUX4<6>,CFG_RMUX4<4>,CFG_RMUX4<2>,CFG_RMUX4<0>,CFG_RMUX4<20>,CFG_RMUX4<22>,CFG_RMUX4<24>,CFG_RMUX4<26>,CFG_RMUX4<27>,CFG_RMUX4<40>,CFG_RMUX4<42>,CFG_RMUX4<44>,CFG_RMUX4<46>,CFG_RMUX4<47>,CFG_IOMUX4<4>,CFG_IOMUX4<8>,CFG_IOMUX4<0>,CFG_IOMUX4<2>,CFG_IOMUX4<5>,CFG_SeamMUX<16>
W17,CFG_RMUX4<8>,CFG_RMUX4<9>,CFG_RMUX4<5>,CFG_RMUX4<3>,CFG_RMUX4<1>,CFG_RMUX4<21>,CFG_RMUX4<23>,CFG_RMUX4<25>,CFG_RMUX4<29>,CFG_RMUX4<28>,CFG_RMUX4<41>,CFG_RMUX4<43>,CFG_RMUX4<45>,CFG_RMUX4<49>,CFG_RMUX4<48>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W18,CFG_RMUX5<7>,CFG_RMUX5<6>,CFG_RMUX5<4>,CFG_RMUX5<2>,CFG_RMUX5<0>,CFG_RMUX5<20>,CFG_RMUX5<22>,CFG_RMUX5<24>,CFG_RMUX5<26>,CFG_RMUX5<27>,CFG_RMUX5<40>,CFG_RMUX5<42>,CFG_RMUX5<44>,CFG_RMUX5<46>,CFG_RMUX5<47>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W19,CFG_RMUX5<8>,CFG_RMUX5<9>,CFG_RMUX5<5>,CFG_RMUX5<3>,CFG_RMUX5<1>,CFG_RMUX5<21>,CFG_RMUX5<23>,CFG_RMUX5<25>,CFG_RMUX5<29>,CFG_RMUX5<28>,CFG_RMUX5<41>,CFG_RMUX5<43>,CFG_RMUX5<45>,CFG_RMUX5<49>,CFG_RMUX5<48>,CFG_IOMUX4<6>,CFG_IOMUX4<7>,CFG_IOMUX4<1>,CFG_IOMUX4<3>,CFG_SeamMUX<17>,CFG_IOMUX4<9>
W20,CFG_RMUX6<57>,CFG_RMUX6<56>,CFG_RMUX6<54>,CFG_RMUX6<52>,CFG_RMUX6<50>,CFG_RMUX6<10>,CFG_RMUX6<12>,CFG_RMUX6<14>,CFG_RMUX6<16>,CFG_RMUX6<17>,CFG_RMUX6<30>,CFG_RMUX6<32>,CFG_RMUX6<34>,CFG_RMUX6<36>,CFG_RMUX6<37>,CFG_IOMUX5<4>,CFG_IOMUX5<8>,CFG_IOMUX5<0>,CFG_IOMUX5<2>,CFG_IOMUX5<5>,CFG_SeamMUX<18>
W21,CFG_RMUX6<58>,CFG_RMUX6<59>,CFG_RMUX6<55>,CFG_RMUX6<53>,CFG_RMUX6<51>,CFG_RMUX6<11>,CFG_RMUX6<13>,CFG_RMUX6<15>,CFG_RMUX6<19>,CFG_RMUX6<18>,CFG_RMUX6<31>,CFG_RMUX6<33>,CFG_RMUX6<35>,CFG_RMUX6<39>,CFG_RMUX6<38>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W22,CFG_RMUX7<57>,CFG_RMUX7<56>,CFG_RMUX7<54>,CFG_RMUX7<52>,CFG_RMUX7<50>,CFG_RMUX7<10>,CFG_RMUX7<12>,CFG_RMUX7<14>,CFG_RMUX7<16>,CFG_RMUX7<17>,CFG_RMUX7<30>,CFG_RMUX7<32>,CFG_RMUX7<34>,CFG_RMUX7<36>,CFG_RMUX7<37>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W23,CFG_RMUX7<58>,CFG_RMUX7<59>,CFG_RMUX7<55>,CFG_RMUX7<53>,CFG_RMUX7<51>,CFG_RMUX7<11>,CFG_RMUX7<13>,CFG_RMUX7<15>,CFG_RMUX7<19>,CFG_RMUX7<18>,CFG_RMUX7<31>,CFG_RMUX7<33>,CFG_RMUX7<35>,CFG_RMUX7<39>,CFG_RMUX7<38>,CFG_IOMUX5<6>,CFG_IOMUX5<7>,CFG_IOMUX5<1>,CFG_IOMUX5<3>,CFG_SeamMUX<19>,CFG_IOMUX5<9>
W24,CFG_RMUX4<17>,CFG_RMUX4<16>,CFG_RMUX4<14>,CFG_RMUX4<12>,CFG_RMUX4<10>,CFG_RMUX4<30>,CFG_RMUX4<32>,CFG_RMUX4<34>,CFG_RMUX4<36>,CFG_RMUX4<37>,CFG_RMUX4<50>,CFG_RMUX4<52>,CFG_RMUX4<54>,CFG_RMUX4<56>,CFG_RMUX4<57>,CFG_IOMUX6<4>,CFG_IOMUX6<8>,CFG_IOMUX6<0>,CFG_IOMUX6<2>,CFG_IOMUX6<5>,CFG_SeamMUX<20>
W25,CFG_RMUX4<18>,CFG_RMUX4<19>,CFG_RMUX4<15>,CFG_RMUX4<13>,CFG_RMUX4<11>,CFG_RMUX4<31>,CFG_RMUX4<33>,CFG_RMUX4<35>,CFG_RMUX4<39>,CFG_RMUX4<38>,CFG_RMUX4<51>,CFG_RMUX4<53>,CFG_RMUX4<55>,CFG_RMUX4<59>,CFG_RMUX4<58>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W26,CFG_RMUX5<17>,CFG_RMUX5<16>,CFG_RMUX5<14>,CFG_RMUX5<12>,CFG_RMUX5<10>,CFG_RMUX5<30>,CFG_RMUX5<32>,CFG_RMUX5<34>,CFG_RMUX5<36>,CFG_RMUX5<37>,CFG_RMUX5<50>,CFG_RMUX5<52>,CFG_RMUX5<54>,CFG_RMUX5<56>,CFG_RMUX5<57>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W27,CFG_RMUX5<18>,CFG_RMUX5<19>,CFG_RMUX5<15>,CFG_RMUX5<13>,CFG_RMUX5<11>,CFG_RMUX5<31>,CFG_RMUX5<33>,CFG_RMUX5<35>,CFG_RMUX5<39>,CFG_RMUX5<38>,CFG_RMUX5<51>,CFG_RMUX5<53>,CFG_RMUX5<55>,CFG_RMUX5<59>,CFG_RMUX5<58>,CFG_IOMUX6<6>,CFG_IOMUX6<7>,CFG_IOMUX6<1>,CFG_IOMUX6<3>,CFG_SeamMUX<21>,CFG_IOMUX6<9>
W28,CFG_RMUX6<47>,CFG_RMUX6<46>,CFG_RMUX6<44>,CFG_RMUX6<42>,CFG_RMUX6<40>,CFG_RMUX6<0>,CFG_RMUX6<2>,CFG_RMUX6<4>,CFG_RMUX6<6>,CFG_RMUX6<7>,CFG_RMUX6<20>,CFG_RMUX6<22>,CFG_RMUX6<24>,CFG_RMUX6<26>,CFG_RMUX6<27>,CFG_IOMUX7<4>,CFG_IOMUX7<8>,CFG_IOMUX7<0>,CFG_IOMUX7<2>,CFG_IOMUX7<5>,CFG_SeamMUX<22>
W29,CFG_RMUX6<48>,CFG_RMUX6<49>,CFG_RMUX6<45>,CFG_RMUX6<43>,CFG_RMUX6<41>,CFG_RMUX6<1>,CFG_RMUX6<3>,CFG_RMUX6<5>,CFG_RMUX6<9>,CFG_RMUX6<8>,CFG_RMUX6<21>,CFG_RMUX6<23>,CFG_RMUX6<25>,CFG_RMUX6<29>,CFG_RMUX6<28>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W30,CFG_RMUX7<47>,CFG_RMUX7<46>,CFG_RMUX7<44>,CFG_RMUX7<42>,CFG_RMUX7<40>,CFG_RMUX7<0>,CFG_RMUX7<2>,CFG_RMUX7<4>,CFG_RMUX7<6>,CFG_RMUX7<7>,CFG_RMUX7<20>,CFG_RMUX7<22>,CFG_RMUX7<24>,CFG_RMUX7<26>,CFG_RMUX7<27>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W31,CFG_RMUX7<48>,CFG_RMUX7<49>,CFG_RMUX7<45>,CFG_RMUX7<43>,CFG_RMUX7<41>,CFG_RMUX7<1>,CFG_RMUX7<3>,CFG_RMUX7<5>,CFG_RMUX7<9>,CFG_RMUX7<8>,CFG_RMUX7<21>,CFG_RMUX7<23>,CFG_RMUX7<25>,CFG_RMUX7<29>,CFG_RMUX7<28>,CFG_IOMUX7<6>,CFG_IOMUX7<7>,CFG_IOMUX7<1>,CFG_IOMUX7<3>,CFG_SeamMUX<23>,CFG_IOMUX7<9>
W32,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_SeamMUX<0>,CFG_SeamMUX<3>,CFG_SeamMUX<2>,CFG_SeamMUX<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W33,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
W34,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
