netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,
W0,CFG_RMUX0<7>,CFG_RMUX0<6>,CFG_RMUX0<4>,CFG_RMUX0<2>,CFG_RMUX0<0>,CFG_RMUX0<20>,CFG_RMUX0<22>,CFG_RMUX0<24>,CFG_RMUX0<26>,CFG_RMUX0<27>,CFG_RMUX0<47>,CFG_RMUX0<46>,CFG_RMUX0<44>,CFG_RMUX0<42>,CFG_RMUX0<40>,CFG_IMUX0<0>,CFG_IMUX0<2>,CFG_IMUX0<4>,CFG_IMUX0<6>,CFG_IMUX0<8>,CFG_IMUX0<9>,CFG_IMUX0<21>,CFG_IMUX0<20>,CFG_IMUX0<18>,CFG_IMUX0<16>,CFG_IMUX0<14>,CFG_IMUX0<12>,CFG_LUT<1>,CFG_LUT<3>,CFG_LUT<2>,CFG_LUT<0>,CFG_LUTCMUX<1>,CFG_ASYNCMUX<0>,CFG_OMUX0<0>,
W1,CFG_RMUX0<8>,CFG_RMUX0<9>,CFG_RMUX0<5>,CFG_RMUX0<3>,CFG_RMUX0<1>,CFG_RMUX0<21>,CFG_RMUX0<23>,CFG_RMUX0<25>,CFG_RMUX0<29>,CFG_RMUX0<28>,CFG_RMUX0<48>,CFG_RMUX0<49>,CFG_RMUX0<45>,CFG_RMUX0<43>,CFG_RMUX0<41>,CFG_IMUX0<1>,CFG_IMUX0<3>,CFG_IMUX0<5>,CFG_IMUX0<7>,CFG_IMUX0<11>,CFG_IMUX0<10>,CFG_IMUX0<22>,CFG_IMUX0<23>,CFG_IMUX0<19>,CFG_IMUX0<17>,CFG_IMUX0<15>,CFG_IMUX0<13>,CFG_LUT<7>,CFG_LUT<5>,CFG_LUT<4>,CFG_LUT<6>,XXXX,CFG_CLKMUX<0>,XXXX,
W2,CFG_RMUX1<7>,CFG_RMUX1<6>,CFG_RMUX1<4>,CFG_RMUX1<2>,CFG_RMUX1<0>,CFG_RMUX1<20>,CFG_RMUX1<22>,CFG_RMUX1<24>,CFG_RMUX1<26>,CFG_RMUX1<27>,CFG_RMUX1<47>,CFG_RMUX1<46>,CFG_RMUX1<44>,CFG_RMUX1<42>,CFG_RMUX1<40>,CFG_IMUX0<24>,CFG_IMUX0<26>,CFG_IMUX0<28>,CFG_IMUX0<30>,CFG_IMUX0<32>,CFG_IMUX0<33>,CFG_IMUX0<45>,CFG_IMUX0<44>,CFG_IMUX0<42>,CFG_IMUX0<40>,CFG_IMUX0<38>,CFG_IMUX0<36>,CFG_LUT<9>,CFG_LUT<11>,CFG_LUT<10>,CFG_LUT<8>,CFG_CARRY_CRL<0>,CFG_SHIFTMUX<0>,CFG_OMUX0<1>,
W3,CFG_RMUX1<8>,CFG_RMUX1<9>,CFG_RMUX1<5>,CFG_RMUX1<3>,CFG_RMUX1<1>,CFG_RMUX1<21>,CFG_RMUX1<23>,CFG_RMUX1<25>,CFG_RMUX1<29>,CFG_RMUX1<28>,CFG_RMUX1<48>,CFG_RMUX1<49>,CFG_RMUX1<45>,CFG_RMUX1<43>,CFG_RMUX1<41>,CFG_IMUX0<25>,CFG_IMUX0<27>,CFG_IMUX0<29>,CFG_IMUX0<31>,CFG_IMUX0<35>,CFG_IMUX0<34>,CFG_IMUX0<46>,CFG_IMUX0<47>,CFG_IMUX0<43>,CFG_IMUX0<41>,CFG_IMUX0<39>,CFG_IMUX0<37>,CFG_LUT<15>,CFG_LUT<13>,CFG_LUT<12>,CFG_LUT<14>,CFG_LUTCMUX<0>,CFG_BYPASSEN<0>,CFG_OMUX0<2>,
W4,CFG_RMUX2<57>,CFG_RMUX2<56>,CFG_RMUX2<54>,CFG_RMUX2<52>,CFG_RMUX2<50>,CFG_RMUX2<10>,CFG_RMUX2<12>,CFG_RMUX2<14>,CFG_RMUX2<16>,CFG_RMUX2<17>,CFG_RMUX2<37>,CFG_RMUX2<36>,CFG_RMUX2<34>,CFG_RMUX2<32>,CFG_RMUX2<30>,CFG_IMUX1<0>,CFG_IMUX1<2>,CFG_IMUX1<4>,CFG_IMUX1<6>,CFG_IMUX1<8>,CFG_IMUX1<9>,CFG_IMUX1<21>,CFG_IMUX1<20>,CFG_IMUX1<18>,CFG_IMUX1<16>,CFG_IMUX1<14>,CFG_IMUX1<12>,CFG_LUT<17>,CFG_LUT<19>,CFG_LUT<18>,CFG_LUT<16>,CFG_LUTCMUX<3>,CFG_ASYNCMUX<1>,CFG_OMUX1<0>,
W5,CFG_RMUX2<58>,CFG_RMUX2<59>,CFG_RMUX2<55>,CFG_RMUX2<53>,CFG_RMUX2<51>,CFG_RMUX2<11>,CFG_RMUX2<13>,CFG_RMUX2<15>,CFG_RMUX2<19>,CFG_RMUX2<18>,CFG_RMUX2<38>,CFG_RMUX2<39>,CFG_RMUX2<35>,CFG_RMUX2<33>,CFG_RMUX2<31>,CFG_IMUX1<1>,CFG_IMUX1<3>,CFG_IMUX1<5>,CFG_IMUX1<7>,CFG_IMUX1<11>,CFG_IMUX1<10>,CFG_IMUX1<22>,CFG_IMUX1<23>,CFG_IMUX1<19>,CFG_IMUX1<17>,CFG_IMUX1<15>,CFG_IMUX1<13>,CFG_LUT<23>,CFG_LUT<21>,CFG_LUT<20>,CFG_LUT<22>,XXXX,CFG_CLKMUX<1>,XXXX,
W6,CFG_RMUX3<57>,CFG_RMUX3<56>,CFG_RMUX3<54>,CFG_RMUX3<52>,CFG_RMUX3<50>,CFG_RMUX3<10>,CFG_RMUX3<12>,CFG_RMUX3<14>,CFG_RMUX3<16>,CFG_RMUX3<17>,CFG_RMUX3<37>,CFG_RMUX3<36>,CFG_RMUX3<34>,CFG_RMUX3<32>,CFG_RMUX3<30>,CFG_IMUX1<24>,CFG_IMUX1<26>,CFG_IMUX1<28>,CFG_IMUX1<30>,CFG_IMUX1<32>,CFG_IMUX1<33>,CFG_IMUX1<45>,CFG_IMUX1<44>,CFG_IMUX1<42>,CFG_IMUX1<40>,CFG_IMUX1<38>,CFG_IMUX1<36>,CFG_LUT<25>,CFG_LUT<27>,CFG_LUT<26>,CFG_LUT<24>,CFG_CARRY_CRL<1>,CFG_SHIFTMUX<1>,CFG_OMUX1<1>,
W7,CFG_RMUX3<58>,CFG_RMUX3<59>,CFG_RMUX3<55>,CFG_RMUX3<53>,CFG_RMUX3<51>,CFG_RMUX3<11>,CFG_RMUX3<13>,CFG_RMUX3<15>,CFG_RMUX3<19>,CFG_RMUX3<18>,CFG_RMUX3<38>,CFG_RMUX3<39>,CFG_RMUX3<35>,CFG_RMUX3<33>,CFG_RMUX3<31>,CFG_IMUX1<25>,CFG_IMUX1<27>,CFG_IMUX1<29>,CFG_IMUX1<31>,CFG_IMUX1<35>,CFG_IMUX1<34>,CFG_IMUX1<46>,CFG_IMUX1<47>,CFG_IMUX1<43>,CFG_IMUX1<41>,CFG_IMUX1<39>,CFG_IMUX1<37>,CFG_LUT<31>,CFG_LUT<29>,CFG_LUT<28>,CFG_LUT<30>,CFG_LUTCMUX<2>,CFG_BYPASSEN<1>,CFG_OMUX1<2>,
W8,CFG_RMUX0<17>,CFG_RMUX0<16>,CFG_RMUX0<14>,CFG_RMUX0<12>,CFG_RMUX0<10>,CFG_RMUX0<30>,CFG_RMUX0<32>,CFG_RMUX0<34>,CFG_RMUX0<36>,CFG_RMUX0<37>,CFG_RMUX0<57>,CFG_RMUX0<56>,CFG_RMUX0<54>,CFG_RMUX0<52>,CFG_RMUX0<50>,CFG_IMUX2<0>,CFG_IMUX2<2>,CFG_IMUX2<4>,CFG_IMUX2<6>,CFG_IMUX2<8>,CFG_IMUX2<9>,CFG_IMUX2<21>,CFG_IMUX2<20>,CFG_IMUX2<18>,CFG_IMUX2<16>,CFG_IMUX2<14>,CFG_IMUX2<12>,CFG_LUT<33>,CFG_LUT<35>,CFG_LUT<34>,CFG_LUT<32>,CFG_LUTCMUX<5>,CFG_ASYNCMUX<2>,CFG_OMUX2<0>,
W9,CFG_RMUX0<18>,CFG_RMUX0<19>,CFG_RMUX0<15>,CFG_RMUX0<13>,CFG_RMUX0<11>,CFG_RMUX0<31>,CFG_RMUX0<33>,CFG_RMUX0<35>,CFG_RMUX0<39>,CFG_RMUX0<38>,CFG_RMUX0<58>,CFG_RMUX0<59>,CFG_RMUX0<55>,CFG_RMUX0<53>,CFG_RMUX0<51>,CFG_IMUX2<1>,CFG_IMUX2<3>,CFG_IMUX2<5>,CFG_IMUX2<7>,CFG_IMUX2<11>,CFG_IMUX2<10>,CFG_IMUX2<22>,CFG_IMUX2<23>,CFG_IMUX2<19>,CFG_IMUX2<17>,CFG_IMUX2<15>,CFG_IMUX2<13>,CFG_LUT<39>,CFG_LUT<37>,CFG_LUT<36>,CFG_LUT<38>,XXXX,CFG_CLKMUX<2>,XXXX,
W10,CFG_RMUX1<17>,CFG_RMUX1<16>,CFG_RMUX1<14>,CFG_RMUX1<12>,CFG_RMUX1<10>,CFG_RMUX1<30>,CFG_RMUX1<32>,CFG_RMUX1<34>,CFG_RMUX1<36>,CFG_RMUX1<37>,CFG_RMUX1<57>,CFG_RMUX1<56>,CFG_RMUX1<54>,CFG_RMUX1<52>,CFG_RMUX1<50>,CFG_IMUX2<24>,CFG_IMUX2<26>,CFG_IMUX2<28>,CFG_IMUX2<30>,CFG_IMUX2<32>,CFG_IMUX2<33>,CFG_IMUX2<45>,CFG_IMUX2<44>,CFG_IMUX2<42>,CFG_IMUX2<40>,CFG_IMUX2<38>,CFG_IMUX2<36>,CFG_LUT<41>,CFG_LUT<43>,CFG_LUT<42>,CFG_LUT<40>,CFG_CARRY_CRL<2>,CFG_SHIFTMUX<2>,CFG_OMUX2<1>,
W11,CFG_RMUX1<18>,CFG_RMUX1<19>,CFG_RMUX1<15>,CFG_RMUX1<13>,CFG_RMUX1<11>,CFG_RMUX1<31>,CFG_RMUX1<33>,CFG_RMUX1<35>,CFG_RMUX1<39>,CFG_RMUX1<38>,CFG_RMUX1<58>,CFG_RMUX1<59>,CFG_RMUX1<55>,CFG_RMUX1<53>,CFG_RMUX1<51>,CFG_IMUX2<25>,CFG_IMUX2<27>,CFG_IMUX2<29>,CFG_IMUX2<31>,CFG_IMUX2<35>,CFG_IMUX2<34>,CFG_IMUX2<46>,CFG_IMUX2<47>,CFG_IMUX2<43>,CFG_IMUX2<41>,CFG_IMUX2<39>,CFG_IMUX2<37>,CFG_LUT<47>,CFG_LUT<45>,CFG_LUT<44>,CFG_LUT<46>,CFG_LUTCMUX<4>,CFG_BYPASSEN<2>,CFG_OMUX2<2>,
W12,CFG_RMUX2<47>,CFG_RMUX2<46>,CFG_RMUX2<44>,CFG_RMUX2<42>,CFG_RMUX2<40>,CFG_RMUX2<0>,CFG_RMUX2<2>,CFG_RMUX2<4>,CFG_RMUX2<6>,CFG_RMUX2<7>,CFG_RMUX2<27>,CFG_RMUX2<26>,CFG_RMUX2<24>,CFG_RMUX2<22>,CFG_RMUX2<20>,CFG_IMUX3<0>,CFG_IMUX3<2>,CFG_IMUX3<4>,CFG_IMUX3<6>,CFG_IMUX3<8>,CFG_IMUX3<9>,CFG_IMUX3<21>,CFG_IMUX3<20>,CFG_IMUX3<18>,CFG_IMUX3<16>,CFG_IMUX3<14>,CFG_IMUX3<12>,CFG_LUT<49>,CFG_LUT<51>,CFG_LUT<50>,CFG_LUT<48>,CFG_LUTCMUX<7>,CFG_ASYNCMUX<3>,CFG_OMUX3<0>,
W13,CFG_RMUX2<48>,CFG_RMUX2<49>,CFG_RMUX2<45>,CFG_RMUX2<43>,CFG_RMUX2<41>,CFG_RMUX2<1>,CFG_RMUX2<3>,CFG_RMUX2<5>,CFG_RMUX2<9>,CFG_RMUX2<8>,CFG_RMUX2<28>,CFG_RMUX2<29>,CFG_RMUX2<25>,CFG_RMUX2<23>,CFG_RMUX2<21>,CFG_IMUX3<1>,CFG_IMUX3<3>,CFG_IMUX3<5>,CFG_IMUX3<7>,CFG_IMUX3<11>,CFG_IMUX3<10>,CFG_IMUX3<22>,CFG_IMUX3<23>,CFG_IMUX3<19>,CFG_IMUX3<17>,CFG_IMUX3<15>,CFG_IMUX3<13>,CFG_LUT<55>,CFG_LUT<53>,CFG_LUT<52>,CFG_LUT<54>,XXXX,CFG_CLKMUX<3>,XXXX,
W14,CFG_RMUX3<47>,CFG_RMUX3<46>,CFG_RMUX3<44>,CFG_RMUX3<42>,CFG_RMUX3<40>,CFG_RMUX3<0>,CFG_RMUX3<2>,CFG_RMUX3<4>,CFG_RMUX3<6>,CFG_RMUX3<7>,CFG_RMUX3<27>,CFG_RMUX3<26>,CFG_RMUX3<24>,CFG_RMUX3<22>,CFG_RMUX3<20>,CFG_IMUX3<24>,CFG_IMUX3<26>,CFG_IMUX3<28>,CFG_IMUX3<30>,CFG_IMUX3<32>,CFG_IMUX3<33>,CFG_IMUX3<45>,CFG_IMUX3<44>,CFG_IMUX3<42>,CFG_IMUX3<40>,CFG_IMUX3<38>,CFG_IMUX3<36>,CFG_LUT<57>,CFG_LUT<59>,CFG_LUT<58>,CFG_LUT<56>,CFG_CARRY_CRL<3>,CFG_SHIFTMUX<3>,CFG_OMUX3<1>,
W15,CFG_RMUX3<48>,CFG_RMUX3<49>,CFG_RMUX3<45>,CFG_RMUX3<43>,CFG_RMUX3<41>,CFG_RMUX3<1>,CFG_RMUX3<3>,CFG_RMUX3<5>,CFG_RMUX3<9>,CFG_RMUX3<8>,CFG_RMUX3<28>,CFG_RMUX3<29>,CFG_RMUX3<25>,CFG_RMUX3<23>,CFG_RMUX3<21>,CFG_IMUX3<25>,CFG_IMUX3<27>,CFG_IMUX3<29>,CFG_IMUX3<31>,CFG_IMUX3<35>,CFG_IMUX3<34>,CFG_IMUX3<46>,CFG_IMUX3<47>,CFG_IMUX3<43>,CFG_IMUX3<41>,CFG_IMUX3<39>,CFG_IMUX3<37>,CFG_LUT<63>,CFG_LUT<61>,CFG_LUT<60>,CFG_LUT<62>,CFG_LUTCMUX<6>,CFG_BYPASSEN<3>,CFG_OMUX3<2>,
W16,CFG_RMUX4<7>,CFG_RMUX4<6>,CFG_RMUX4<4>,CFG_RMUX4<2>,CFG_RMUX4<0>,CFG_RMUX4<20>,CFG_RMUX4<22>,CFG_RMUX4<24>,CFG_RMUX4<26>,CFG_RMUX4<27>,CFG_RMUX4<47>,CFG_RMUX4<46>,CFG_RMUX4<44>,CFG_RMUX4<42>,CFG_RMUX4<40>,CFG_IMUX4<0>,CFG_IMUX4<2>,CFG_IMUX4<4>,CFG_IMUX4<6>,CFG_IMUX4<8>,CFG_IMUX4<9>,CFG_IMUX4<21>,CFG_IMUX4<20>,CFG_IMUX4<18>,CFG_IMUX4<16>,CFG_IMUX4<14>,CFG_IMUX4<12>,CFG_LUT<65>,CFG_LUT<67>,CFG_LUT<66>,CFG_LUT<64>,CFG_LUTCMUX<9>,CFG_ASYNCMUX<4>,CFG_OMUX4<0>,
W17,CFG_RMUX4<8>,CFG_RMUX4<9>,CFG_RMUX4<5>,CFG_RMUX4<3>,CFG_RMUX4<1>,CFG_RMUX4<21>,CFG_RMUX4<23>,CFG_RMUX4<25>,CFG_RMUX4<29>,CFG_RMUX4<28>,CFG_RMUX4<48>,CFG_RMUX4<49>,CFG_RMUX4<45>,CFG_RMUX4<43>,CFG_RMUX4<41>,CFG_IMUX4<1>,CFG_IMUX4<3>,CFG_IMUX4<5>,CFG_IMUX4<7>,CFG_IMUX4<11>,CFG_IMUX4<10>,CFG_IMUX4<22>,CFG_IMUX4<23>,CFG_IMUX4<19>,CFG_IMUX4<17>,CFG_IMUX4<15>,CFG_IMUX4<13>,CFG_LUT<71>,CFG_LUT<69>,CFG_LUT<68>,CFG_LUT<70>,XXXX,CFG_CLKMUX<4>,XXXX,
W18,CFG_RMUX5<7>,CFG_RMUX5<6>,CFG_RMUX5<4>,CFG_RMUX5<2>,CFG_RMUX5<0>,CFG_RMUX5<20>,CFG_RMUX5<22>,CFG_RMUX5<24>,CFG_RMUX5<26>,CFG_RMUX5<27>,CFG_RMUX5<47>,CFG_RMUX5<46>,CFG_RMUX5<44>,CFG_RMUX5<42>,CFG_RMUX5<40>,CFG_IMUX4<24>,CFG_IMUX4<26>,CFG_IMUX4<28>,CFG_IMUX4<30>,CFG_IMUX4<32>,CFG_IMUX4<33>,CFG_IMUX4<45>,CFG_IMUX4<44>,CFG_IMUX4<42>,CFG_IMUX4<40>,CFG_IMUX4<38>,CFG_IMUX4<36>,CFG_LUT<73>,CFG_LUT<75>,CFG_LUT<74>,CFG_LUT<72>,CFG_CARRY_CRL<4>,CFG_SHIFTMUX<4>,CFG_OMUX4<1>,
W19,CFG_RMUX5<8>,CFG_RMUX5<9>,CFG_RMUX5<5>,CFG_RMUX5<3>,CFG_RMUX5<1>,CFG_RMUX5<21>,CFG_RMUX5<23>,CFG_RMUX5<25>,CFG_RMUX5<29>,CFG_RMUX5<28>,CFG_RMUX5<48>,CFG_RMUX5<49>,CFG_RMUX5<45>,CFG_RMUX5<43>,CFG_RMUX5<41>,CFG_IMUX4<25>,CFG_IMUX4<27>,CFG_IMUX4<29>,CFG_IMUX4<31>,CFG_IMUX4<35>,CFG_IMUX4<34>,CFG_IMUX4<46>,CFG_IMUX4<47>,CFG_IMUX4<43>,CFG_IMUX4<41>,CFG_IMUX4<39>,CFG_IMUX4<37>,CFG_LUT<79>,CFG_LUT<77>,CFG_LUT<76>,CFG_LUT<78>,CFG_LUTCMUX<8>,CFG_BYPASSEN<4>,CFG_OMUX4<2>,
W20,CFG_RMUX6<57>,CFG_RMUX6<56>,CFG_RMUX6<54>,CFG_RMUX6<52>,CFG_RMUX6<50>,CFG_RMUX6<10>,CFG_RMUX6<12>,CFG_RMUX6<14>,CFG_RMUX6<16>,CFG_RMUX6<17>,CFG_RMUX6<37>,CFG_RMUX6<36>,CFG_RMUX6<34>,CFG_RMUX6<32>,CFG_RMUX6<30>,CFG_IMUX5<0>,CFG_IMUX5<2>,CFG_IMUX5<4>,CFG_IMUX5<6>,CFG_IMUX5<8>,CFG_IMUX5<9>,CFG_IMUX5<21>,CFG_IMUX5<20>,CFG_IMUX5<18>,CFG_IMUX5<16>,CFG_IMUX5<14>,CFG_IMUX5<12>,CFG_LUT<81>,CFG_LUT<83>,CFG_LUT<82>,CFG_LUT<80>,CFG_LUTCMUX<11>,CFG_ASYNCMUX<5>,CFG_OMUX5<0>,
W21,CFG_RMUX6<58>,CFG_RMUX6<59>,CFG_RMUX6<55>,CFG_RMUX6<53>,CFG_RMUX6<51>,CFG_RMUX6<11>,CFG_RMUX6<13>,CFG_RMUX6<15>,CFG_RMUX6<19>,CFG_RMUX6<18>,CFG_RMUX6<38>,CFG_RMUX6<39>,CFG_RMUX6<35>,CFG_RMUX6<33>,CFG_RMUX6<31>,CFG_IMUX5<1>,CFG_IMUX5<3>,CFG_IMUX5<5>,CFG_IMUX5<7>,CFG_IMUX5<11>,CFG_IMUX5<10>,CFG_IMUX5<22>,CFG_IMUX5<23>,CFG_IMUX5<19>,CFG_IMUX5<17>,CFG_IMUX5<15>,CFG_IMUX5<13>,CFG_LUT<87>,CFG_LUT<85>,CFG_LUT<84>,CFG_LUT<86>,XXXX,CFG_CLKMUX<5>,XXXX,
W22,CFG_RMUX7<57>,CFG_RMUX7<56>,CFG_RMUX7<54>,CFG_RMUX7<52>,CFG_RMUX7<50>,CFG_RMUX7<10>,CFG_RMUX7<12>,CFG_RMUX7<14>,CFG_RMUX7<16>,CFG_RMUX7<17>,CFG_RMUX7<37>,CFG_RMUX7<36>,CFG_RMUX7<34>,CFG_RMUX7<32>,CFG_RMUX7<30>,CFG_IMUX5<24>,CFG_IMUX5<26>,CFG_IMUX5<28>,CFG_IMUX5<30>,CFG_IMUX5<32>,CFG_IMUX5<33>,CFG_IMUX5<45>,CFG_IMUX5<44>,CFG_IMUX5<42>,CFG_IMUX5<40>,CFG_IMUX5<38>,CFG_IMUX5<36>,CFG_LUT<89>,CFG_LUT<91>,CFG_LUT<90>,CFG_LUT<88>,CFG_CARRY_CRL<5>,CFG_SHIFTMUX<5>,CFG_OMUX5<1>,
