netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,
W0,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX1<18>,CFG_IOMUX1<17>,CFG_IOMUX1<16>,CFG_IOMUX1<13>,CFG_IOMUX1<11>,XXXX,XXXX,CFG_IOMUX3<8>,CFG_IOMUX3<7>,CFG_IOMUX3<6>,CFG_IOMUX3<3>,CFG_IOMUX3<1>,XXXX,XXXX,CFG_IOMUX4<28>,CFG_IOMUX4<27>,CFG_IOMUX4<26>,CFG_IOMUX4<23>,CFG_IOMUX4<21>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W1,CFG_SEAMMUX4<12>,CFG_SEAMMUX4<13>,CFG_SEAMMUX4<14>,CFG_SEAMMUX4<15>,CFG_SEAMMUX4<16>,CFG_SEAMMUX4<17>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_GCLKDMUX<8>,CFG_GCLKDMUX<9>,XXXX,XXXX,
W2,CFG_SEAMMUX4<0>,CFG_SEAMMUX4<1>,CFG_SEAMMUX4<2>,CFG_SEAMMUX4<3>,CFG_SEAMMUX4<4>,CFG_SEAMMUX4<5>,CFG_SEAMMUX4<6>,CFG_SEAMMUX4<7>,CFG_SEAMMUX4<8>,CFG_SEAMMUX4<9>,CFG_SEAMMUX4<10>,CFG_SEAMMUX4<11>,XXXX,XXXX,XXXX,CFG_IOMUX1<19>,CFG_IOMUX1<14>,CFG_IOMUX1<15>,CFG_IOMUX1<12>,CFG_IOMUX1<10>,XXXX,XXXX,CFG_IOMUX3<9>,CFG_IOMUX3<4>,CFG_IOMUX3<5>,CFG_IOMUX3<2>,CFG_IOMUX3<0>,XXXX,XXXX,CFG_IOMUX4<29>,CFG_IOMUX4<24>,CFG_IOMUX4<25>,CFG_IOMUX4<22>,CFG_IOMUX4<20>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W3,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX1<9>,CFG_IOMUX1<4>,CFG_IOMUX1<5>,CFG_IOMUX1<2>,CFG_IOMUX1<0>,XXXX,XXXX,CFG_IOMUX2<29>,CFG_IOMUX2<24>,CFG_IOMUX2<25>,CFG_IOMUX2<22>,CFG_IOMUX2<20>,XXXX,XXXX,CFG_IOMUX4<19>,CFG_IOMUX4<14>,CFG_IOMUX4<15>,CFG_IOMUX4<12>,CFG_IOMUX4<10>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W4,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W5,CFG_SEAMMUX3<6>,CFG_SEAMMUX3<7>,CFG_SEAMMUX3<8>,CFG_SEAMMUX3<9>,CFG_SEAMMUX3<10>,CFG_SEAMMUX3<11>,CFG_SEAMMUX3<12>,CFG_SEAMMUX3<13>,CFG_SEAMMUX3<14>,CFG_SEAMMUX3<15>,CFG_SEAMMUX3<16>,CFG_SEAMMUX3<17>,XXXX,XXXX,XXXX,CFG_IOMUX1<8>,CFG_IOMUX1<7>,CFG_IOMUX1<6>,CFG_IOMUX1<3>,CFG_IOMUX1<1>,XXXX,XXXX,CFG_IOMUX2<28>,CFG_IOMUX2<27>,CFG_IOMUX2<26>,CFG_IOMUX2<23>,CFG_IOMUX2<21>,XXXX,XXXX,CFG_IOMUX4<18>,CFG_IOMUX4<17>,CFG_IOMUX4<16>,CFG_IOMUX4<13>,CFG_IOMUX4<11>,XXXX,XXXX,CFG_ENA_REG_MODE<4>,XXXX,XXXX,XXXX,
W6,CFG_SEAMMUX2<12>,CFG_SEAMMUX2<13>,CFG_SEAMMUX2<14>,CFG_SEAMMUX2<15>,CFG_SEAMMUX2<16>,CFG_SEAMMUX2<17>,CFG_SEAMMUX3<0>,CFG_SEAMMUX3<1>,CFG_SEAMMUX3<2>,CFG_SEAMMUX3<3>,CFG_SEAMMUX3<4>,CFG_SEAMMUX3<5>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W7,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W8,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_GCLKDMUX<6>,CFG_GCLKDMUX<7>,XXXX,XXXX,
W9,CFG_SEAMMUX2<0>,CFG_SEAMMUX2<1>,CFG_SEAMMUX2<2>,CFG_SEAMMUX2<3>,CFG_SEAMMUX2<4>,CFG_SEAMMUX2<5>,CFG_SEAMMUX2<6>,CFG_SEAMMUX2<7>,CFG_SEAMMUX2<8>,CFG_SEAMMUX2<9>,CFG_SEAMMUX2<10>,CFG_SEAMMUX2<11>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_GCLKDMUX<4>,CFG_GCLKDMUX<5>,XXXX,XXXX,
W10,CFG_SEAMMUX1<6>,CFG_SEAMMUX1<7>,CFG_SEAMMUX1<8>,CFG_SEAMMUX1<9>,CFG_SEAMMUX1<10>,CFG_SEAMMUX1<11>,CFG_SEAMMUX1<12>,CFG_SEAMMUX1<13>,CFG_SEAMMUX1<14>,CFG_SEAMMUX1<15>,CFG_SEAMMUX1<16>,CFG_SEAMMUX1<17>,XXXX,XXXX,XXXX,CFG_IOMUX0<28>,CFG_IOMUX0<27>,CFG_IOMUX0<26>,CFG_IOMUX0<23>,CFG_IOMUX0<21>,XXXX,XXXX,CFG_IOMUX2<18>,CFG_IOMUX2<17>,CFG_IOMUX2<16>,CFG_IOMUX2<13>,CFG_IOMUX2<11>,XXXX,XXXX,CFG_IOMUX4<8>,CFG_IOMUX4<7>,CFG_IOMUX4<6>,CFG_IOMUX4<3>,CFG_IOMUX4<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W11,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W12,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX0<29>,CFG_IOMUX0<24>,CFG_IOMUX0<25>,CFG_IOMUX0<22>,CFG_IOMUX0<20>,XXXX,XXXX,CFG_IOMUX2<19>,CFG_IOMUX2<14>,CFG_IOMUX2<15>,CFG_IOMUX2<12>,CFG_IOMUX2<10>,XXXX,XXXX,CFG_IOMUX4<9>,CFG_IOMUX4<4>,CFG_IOMUX4<5>,CFG_IOMUX4<2>,CFG_IOMUX4<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W13,CFG_SEAMMUX0<12>,CFG_SEAMMUX0<13>,CFG_SEAMMUX0<14>,CFG_SEAMMUX0<15>,CFG_SEAMMUX0<16>,CFG_SEAMMUX0<17>,CFG_SEAMMUX1<0>,CFG_SEAMMUX1<1>,CFG_SEAMMUX1<2>,CFG_SEAMMUX1<3>,CFG_SEAMMUX1<4>,CFG_SEAMMUX1<5>,XXXX,XXXX,XXXX,CFG_IOMUX0<19>,CFG_IOMUX0<14>,CFG_IOMUX0<15>,CFG_IOMUX0<12>,CFG_IOMUX0<10>,XXXX,XXXX,CFG_IOMUX2<9>,CFG_IOMUX2<4>,CFG_IOMUX2<5>,CFG_IOMUX2<2>,CFG_IOMUX2<0>,XXXX,XXXX,CFG_IOMUX3<29>,CFG_IOMUX3<24>,CFG_IOMUX3<25>,CFG_IOMUX3<22>,CFG_IOMUX3<20>,XXXX,XXXX,CFG_ENA_REG_MODE<2>,CFG_ENA_REG_MODE<3>,XXXX,XXXX,
W14,CFG_SEAMMUX0<0>,CFG_SEAMMUX0<1>,CFG_SEAMMUX0<2>,CFG_SEAMMUX0<3>,CFG_SEAMMUX0<4>,CFG_SEAMMUX0<5>,CFG_SEAMMUX0<6>,CFG_SEAMMUX0<7>,CFG_SEAMMUX0<8>,CFG_SEAMMUX0<9>,CFG_SEAMMUX0<10>,CFG_SEAMMUX0<11>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W15,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX0<18>,CFG_IOMUX0<17>,CFG_IOMUX0<16>,CFG_IOMUX0<13>,CFG_IOMUX0<11>,XXXX,XXXX,CFG_IOMUX2<8>,CFG_IOMUX2<7>,CFG_IOMUX2<6>,CFG_IOMUX2<3>,CFG_IOMUX2<1>,XXXX,XXXX,CFG_IOMUX3<28>,CFG_IOMUX3<27>,CFG_IOMUX3<26>,CFG_IOMUX3<23>,CFG_IOMUX3<21>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W16,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX0<8>,CFG_IOMUX0<7>,CFG_IOMUX0<6>,CFG_IOMUX0<3>,CFG_IOMUX0<1>,XXXX,XXXX,CFG_IOMUX1<28>,CFG_IOMUX1<27>,CFG_IOMUX1<26>,CFG_IOMUX1<23>,CFG_IOMUX1<21>,XXXX,XXXX,CFG_IOMUX3<18>,CFG_IOMUX3<17>,CFG_IOMUX3<16>,CFG_IOMUX3<13>,CFG_IOMUX3<11>,XXXX,XXXX,CFG_GCLKDMUX<2>,CFG_GCLKDMUX<3>,XXXX,XXXX,
W17,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_GCLKDMUX<0>,CFG_GCLKDMUX<1>,XXXX,XXXX,
W18,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_IOMUX0<9>,CFG_IOMUX0<4>,CFG_IOMUX0<5>,CFG_IOMUX0<2>,CFG_IOMUX0<0>,XXXX,XXXX,CFG_IOMUX1<29>,CFG_IOMUX1<24>,CFG_IOMUX1<25>,CFG_IOMUX1<22>,CFG_IOMUX1<20>,XXXX,XXXX,CFG_IOMUX3<19>,CFG_IOMUX3<14>,CFG_IOMUX3<15>,CFG_IOMUX3<12>,CFG_IOMUX3<10>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W19,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W20,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INDA_DELAY<3>,CFG_INDA_DELAY<0>,XXXX,XXXX,
W21,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INPUTMUX<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INPUTMUX<1>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INPUTMUX<2>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INPUTMUX<3>,XXXX,XXXX,CFG_ENA_REG_MODE<0>,CFG_ENA_REG_MODE<1>,XXXX,XXXX,
W22,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INDA_DELAY<8>,CFG_INDA_DELAY<11>,CFG_INDA_DELAY<10>,XXXX,XXXX,CFG_INDA_DELAY<5>,CFG_INDA_DELAY<4>,XXXX,XXXX,
W23,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_INDA_DELAY<7>,CFG_INDA_DELAY<6>,CFG_INDA_DELAY<9>,XXXX,XXXX,CFG_INDA_DELAY<1>,CFG_INDA_DELAY<2>,XXXX,XXXX,

